"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
"The Gentlemen","01/01/2020","8","2020C"
,,,
"a"," a","a","b"
"a"," a","a","b"
"a"," a","a","b"
"a","a","a","a"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Bla","a","a","c"
"Archer","a","a","c"
"24","a","a","c"
"Big Little Lies","a","a","c"
"The Good Place","a","a","c"
"The big bang theory","12T"
"1","1","A WordPress Commenter","wapuu@wordpress.example","https://wordpress.org/",,"2019-10-05 02:17:43","2019-10-05 02:17:43","Hi, this is a comment.
To get started with moderating, editing, and deleting comments, please visit the Comments screen in the dashboard.
Commenter avatars come from <a href=""https://gravatar.com"">Gravatar</a>.","0","1",,,"0","0"
"1","siteurl","https://jox.srb.mybluehost.me","yes"
"2","home","https://jox.srb.mybluehost.me","yes"
"3","blogname","Welcome","yes"
"4","blogdescription","Just another WordPress site","yes"
"5","users_can_register","0","yes"
"6","admin_email","jon.venturi@gmail.com","yes"
"7","start_of_week","1","yes"
"8","use_balanceTags","0","yes"
"9","use_smilies","1","yes"
"10","require_name_email","1","yes"
"11","comments_notify","1","yes"
"12","posts_per_rss","10","yes"
"13","rss_use_excerpt","0","yes"
"14","mailserver_url","mail.example.com","yes"
"15","mailserver_login","login@example.com","yes"
"16","mailserver_pass","password","yes"
"17","mailserver_port","110","yes"
"18","default_category","1","yes"
"19","default_comment_status","open","yes"
"20","default_ping_status","open","yes"
"21","default_pingback_flag","1","yes"
"22","posts_per_page","10","yes"
"23","date_format","F j, Y","yes"
"24","time_format","g:i a","yes"
"25","links_updated_date_format","F j, Y g:i a","yes"
"26","comment_moderation","0","yes"
"27","moderation_notify","1","yes"
"28","permalink_structure","/%postname%/","yes"
"29","rewrite_rules","a:92:{s:11:""^wp-json/?$"";s:22:""index.php?rest_route=/"";s:14:""^wp-json/(.*)?"";s:33:""index.php?rest_route=/$matches[1]"";s:21:""^index.php/wp-json/?$"";s:22:""index.php?rest_route=/"";s:24:""^index.php/wp-json/(.*)?"";s:33:""index.php?rest_route=/$matches[1]"";s:47:""category/(.+?)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:52:""index.php?category_name=$matches[1]&feed=$matches[2]"";s:42:""category/(.+?)/(feed|rdf|rss|rss2|atom)/?$"";s:52:""index.php?category_name=$matches[1]&feed=$matches[2]"";s:23:""category/(.+?)/embed/?$"";s:46:""index.php?category_name=$matches[1]&embed=true"";s:35:""category/(.+?)/page/?([0-9]{1,})/?$"";s:53:""index.php?category_name=$matches[1]&paged=$matches[2]"";s:17:""category/(.+?)/?$"";s:35:""index.php?category_name=$matches[1]"";s:44:""tag/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?tag=$matches[1]&feed=$matches[2]"";s:39:""tag/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?tag=$matches[1]&feed=$matches[2]"";s:20:""tag/([^/]+)/embed/?$"";s:36:""index.php?tag=$matches[1]&embed=true"";s:32:""tag/([^/]+)/page/?([0-9]{1,})/?$"";s:43:""index.php?tag=$matches[1]&paged=$matches[2]"";s:14:""tag/([^/]+)/?$"";s:25:""index.php?tag=$matches[1]"";s:45:""type/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?post_format=$matches[1]&feed=$matches[2]"";s:40:""type/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?post_format=$matches[1]&feed=$matches[2]"";s:21:""type/([^/]+)/embed/?$"";s:44:""index.php?post_format=$matches[1]&embed=true"";s:33:""type/([^/]+)/page/?([0-9]{1,})/?$"";s:51:""index.php?post_format=$matches[1]&paged=$matches[2]"";s:15:""type/([^/]+)/?$"";s:33:""index.php?post_format=$matches[1]"";s:57:""wpforms_log_type/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:69:""index.php?taxonomy=wpforms_log_type&term=$matches[1]&feed=$matches[2]"";s:52:""wpforms_log_type/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:69:""index.php?taxonomy=wpforms_log_type&term=$matches[1]&feed=$matches[2]"";s:33:""wpforms_log_type/([^/]+)/embed/?$"";s:63:""index.php?taxonomy=wpforms_log_type&term=$matches[1]&embed=true"";s:45:""wpforms_log_type/([^/]+)/page/?([0-9]{1,})/?$"";s:70:""index.php?taxonomy=wpforms_log_type&term=$matches[1]&paged=$matches[2]"";s:27:""wpforms_log_type/([^/]+)/?$"";s:52:""index.php?taxonomy=wpforms_log_type&term=$matches[1]"";s:12:""robots\.txt$"";s:18:""index.php?robots=1"";s:48:"".*wp-(atom|rdf|rss|rss2|feed|commentsrss2)\.php$"";s:18:""index.php?feed=old"";s:20:"".*wp-app\.php(/.*)?$"";s:19:""index.php?error=403"";s:18:"".*wp-register.php$"";s:23:""index.php?register=true"";s:32:""feed/(feed|rdf|rss|rss2|atom)/?$"";s:27:""index.php?&feed=$matches[1]"";s:27:""(feed|rdf|rss|rss2|atom)/?$"";s:27:""index.php?&feed=$matches[1]"";s:8:""embed/?$"";s:21:""index.php?&embed=true"";s:20:""page/?([0-9]{1,})/?$"";s:28:""index.php?&paged=$matches[1]"";s:41:""comments/feed/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?&feed=$matches[1]&withcomments=1"";s:36:""comments/(feed|rdf|rss|rss2|atom)/?$"";s:42:""index.php?&feed=$matches[1]&withcomments=1"";s:17:""comments/embed/?$"";s:21:""index.php?&embed=true"";s:44:""search/(.+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:40:""index.php?s=$matches[1]&feed=$matches[2]"";s:39:""search/(.+)/(feed|rdf|rss|rss2|atom)/?$"";s:40:""index.php?s=$matches[1]&feed=$matches[2]"";s:20:""search/(.+)/embed/?$"";s:34:""index.php?s=$matches[1]&embed=true"";s:32:""search/(.+)/page/?([0-9]{1,})/?$"";s:41:""index.php?s=$matches[1]&paged=$matches[2]"";s:14:""search/(.+)/?$"";s:23:""index.php?s=$matches[1]"";s:47:""author/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?author_name=$matches[1]&feed=$matches[2]"";s:42:""author/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:50:""index.php?author_name=$matches[1]&feed=$matches[2]"";s:23:""author/([^/]+)/embed/?$"";s:44:""index.php?author_name=$matches[1]&embed=true"";s:35:""author/([^/]+)/page/?([0-9]{1,})/?$"";s:51:""index.php?author_name=$matches[1]&paged=$matches[2]"";s:17:""author/([^/]+)/?$"";s:33:""index.php?author_name=$matches[1]"";s:69:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/feed/(feed|rdf|rss|rss2|atom)/?$"";s:80:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&feed=$matches[4]"";s:64:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/(feed|rdf|rss|rss2|atom)/?$"";s:80:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&feed=$matches[4]"";s:45:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/embed/?$"";s:74:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&embed=true"";s:57:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/page/?([0-9]{1,})/?$"";s:81:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]&paged=$matches[4]"";s:39:""([0-9]{4})/([0-9]{1,2})/([0-9]{1,2})/?$"";s:63:""index.php?year=$matches[1]&monthnum=$matches[2]&day=$matches[3]"";s:56:""([0-9]{4})/([0-9]{1,2})/feed/(feed|rdf|rss|rss2|atom)/?$"";s:64:""index.php?year=$matches[1]&monthnum=$matches[2]&feed=$matches[3]"";s:51:""([0-9]{4})/([0-9]{1,2})/(feed|rdf|rss|rss2|atom)/?$"";s:64:""index.php?year=$matches[1]&monthnum=$matches[2]&feed=$matches[3]"";s:32:""([0-9]{4})/([0-9]{1,2})/embed/?$"";s:58:""index.php?year=$matches[1]&monthnum=$matches[2]&embed=true"";s:44:""([0-9]{4})/([0-9]{1,2})/page/?([0-9]{1,})/?$"";s:65:""index.php?year=$matches[1]&monthnum=$matches[2]&paged=$matches[3]"";s:26:""([0-9]{4})/([0-9]{1,2})/?$"";s:47:""index.php?year=$matches[1]&monthnum=$matches[2]"";s:43:""([0-9]{4})/feed/(feed|rdf|rss|rss2|atom)/?$"";s:43:""index.php?year=$matches[1]&feed=$matches[2]"";s:38:""([0-9]{4})/(feed|rdf|rss|rss2|atom)/?$"";s:43:""index.php?year=$matches[1]&feed=$matches[2]"";s:19:""([0-9]{4})/embed/?$"";s:37:""index.php?year=$matches[1]&embed=true"";s:31:""([0-9]{4})/page/?([0-9]{1,})/?$"";s:44:""index.php?year=$matches[1]&paged=$matches[2]"";s:13:""([0-9]{4})/?$"";s:26:""index.php?year=$matches[1]"";s:27:"".?.+?/attachment/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:37:"".?.+?/attachment/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:57:"".?.+?/attachment/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:52:"".?.+?/attachment/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:52:"".?.+?/attachment/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:33:"".?.+?/attachment/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:16:""(.?.+?)/embed/?$"";s:41:""index.php?pagename=$matches[1]&embed=true"";s:20:""(.?.+?)/trackback/?$"";s:35:""index.php?pagename=$matches[1]&tb=1"";s:40:""(.?.+?)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:47:""index.php?pagename=$matches[1]&feed=$matches[2]"";s:35:""(.?.+?)/(feed|rdf|rss|rss2|atom)/?$"";s:47:""index.php?pagename=$matches[1]&feed=$matches[2]"";s:28:""(.?.+?)/page/?([0-9]{1,})/?$"";s:48:""index.php?pagename=$matches[1]&paged=$matches[2]"";s:35:""(.?.+?)/comment-page-([0-9]{1,})/?$"";s:48:""index.php?pagename=$matches[1]&cpage=$matches[2]"";s:24:""(.?.+?)(?:/([0-9]+))?/?$"";s:47:""index.php?pagename=$matches[1]&page=$matches[2]"";s:27:""[^/]+/attachment/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:37:""[^/]+/attachment/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:57:""[^/]+/attachment/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:52:""[^/]+/attachment/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:52:""[^/]+/attachment/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:33:""[^/]+/attachment/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";s:16:""([^/]+)/embed/?$"";s:37:""index.php?name=$matches[1]&embed=true"";s:20:""([^/]+)/trackback/?$"";s:31:""index.php?name=$matches[1]&tb=1"";s:40:""([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:43:""index.php?name=$matches[1]&feed=$matches[2]"";s:35:""([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:43:""index.php?name=$matches[1]&feed=$matches[2]"";s:28:""([^/]+)/page/?([0-9]{1,})/?$"";s:44:""index.php?name=$matches[1]&paged=$matches[2]"";s:35:""([^/]+)/comment-page-([0-9]{1,})/?$"";s:44:""index.php?name=$matches[1]&cpage=$matches[2]"";s:24:""([^/]+)(?:/([0-9]+))?/?$"";s:43:""index.php?name=$matches[1]&page=$matches[2]"";s:16:""[^/]+/([^/]+)/?$"";s:32:""index.php?attachment=$matches[1]"";s:26:""[^/]+/([^/]+)/trackback/?$"";s:37:""index.php?attachment=$matches[1]&tb=1"";s:46:""[^/]+/([^/]+)/feed/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:41:""[^/]+/([^/]+)/(feed|rdf|rss|rss2|atom)/?$"";s:49:""index.php?attachment=$matches[1]&feed=$matches[2]"";s:41:""[^/]+/([^/]+)/comment-page-([0-9]{1,})/?$"";s:50:""index.php?attachment=$matches[1]&cpage=$matches[2]"";s:22:""[^/]+/([^/]+)/embed/?$"";s:43:""index.php?attachment=$matches[1]&embed=true"";}","yes"
"30","hack_file","0","yes"
"31","blog_charset","UTF-8","yes"
"32","moderation_keys",,"no"
"33","active_plugins","a:5:{i:0;s:50:""google-analytics-for-wordpress/googleanalytics.php"";i:1;s:19:""jetpack/jetpack.php"";i:2;s:47:""mojo-marketplace-wp-plugin/mojo-marketplace.php"";i:3;s:37:""optinmonster/optin-monster-wp-api.php"";i:4;s:24:""wpforms-lite/wpforms.php"";}","yes"
"34","category_base",,"yes"
"35","ping_sites","http://rpc.pingomatic.com/","yes"
"36","comment_max_links","2","yes"
"37","gmt_offset","0","yes"
"38","default_email_category","1","yes"
"39","recently_edited",,"no"
"40","template","twentynineteen","yes"
"41","stylesheet","twentynineteen","yes"
"42","comment_whitelist","1","yes"
"43","blacklist_keys",,"no"
"44","comment_registration","0","yes"
"45","html_type","text/html","yes"
"46","use_trackback","0","yes"
"47","default_role","subscriber","yes"
"48","db_version","44719","yes"
"49","uploads_use_yearmonth_folders","1","yes"
"50","upload_path",,"yes"
"51","blog_public","1","yes"
"52","default_link_category","2","yes"
"53","show_on_front","posts","yes"
"54","tag_base",,"yes"
"55","show_avatars","1","yes"
"56","avatar_rating","G","yes"
"57","upload_url_path",,"yes"
"58","thumbnail_size_w","150","yes"
"59","thumbnail_size_h","150","yes"
"60","thumbnail_crop","1","yes"
"61","medium_size_w","300","yes"
"62","medium_size_h","300","yes"
"63","avatar_default","mystery","yes"
"64","large_size_w","1024","yes"
"65","large_size_h","1024","yes"
"66","image_default_link_type","none","yes"
"67","image_default_size",,"yes"
"68","image_default_align",,"yes"
"69","close_comments_for_old_posts","1","yes"
"70","close_comments_days_old","28","yes"
"71","thread_comments","1","yes"
"72","thread_comments_depth","5","yes"
"73","page_comments","0","yes"
"74","comments_per_page","20","yes"
"75","default_comments_page","newest","yes"
"76","comment_order","asc","yes"
"77","sticky_posts","a:0:{}","yes"
"78","widget_categories","a:2:{i:2;a:4:{s:5:""title"";s:0:"""";s:5:""count"";i:0;s:12:""hierarchical"";i:0;s:8:""dropdown"";i:0;}s:12:""_multiwidget"";i:1;}","yes"
"79","widget_text","a:0:{}","yes"
"80","widget_rss","a:0:{}","yes"
"81","uninstall_plugins","a:2:{s:37:""optinmonster/optin-monster-wp-api.php"";s:32:""optin_monster_api_uninstall_hook"";s:50:""google-analytics-for-wordpress/googleanalytics.php"";s:35:""monsterinsights_lite_uninstall_hook"";}","no"
"82","timezone_string",,"yes"
"83","page_for_posts","0","yes"
"84","page_on_front","0","yes"
"85","default_post_format","0","yes"
"86","link_manager_enabled","0","yes"
"87","finished_splitting_shared_terms","1","yes"
"88","site_icon","0","yes"
"89","medium_large_size_w","768","yes"
"90","medium_large_size_h","0","yes"
"91","wp_page_for_privacy_policy","3","yes"
"92","show_comments_cookies_opt_in","0","yes"
"93","initial_db_version","43764","yes"
"94","_FE6_user_roles","a:5:{s:13:""administrator"";a:2:{s:4:""name"";s:13:""Administrator"";s:12:""capabilities"";a:61:{s:13:""switch_themes"";b:1;s:11:""edit_themes"";b:1;s:16:""activate_plugins"";b:1;s:12:""edit_plugins"";b:1;s:10:""edit_users"";b:1;s:10:""edit_files"";b:1;s:14:""manage_options"";b:1;s:17:""moderate_comments"";b:1;s:17:""manage_categories"";b:1;s:12:""manage_links"";b:1;s:12:""upload_files"";b:1;s:6:""import"";b:1;s:15:""unfiltered_html"";b:1;s:10:""edit_posts"";b:1;s:17:""edit_others_posts"";b:1;s:20:""edit_published_posts"";b:1;s:13:""publish_posts"";b:1;s:10:""edit_pages"";b:1;s:4:""read"";b:1;s:8:""level_10"";b:1;s:7:""level_9"";b:1;s:7:""level_8"";b:1;s:7:""level_7"";b:1;s:7:""level_6"";b:1;s:7:""level_5"";b:1;s:7:""level_4"";b:1;s:7:""level_3"";b:1;s:7:""level_2"";b:1;s:7:""level_1"";b:1;s:7:""level_0"";b:1;s:17:""edit_others_pages"";b:1;s:20:""edit_published_pages"";b:1;s:13:""publish_pages"";b:1;s:12:""delete_pages"";b:1;s:19:""delete_others_pages"";b:1;s:22:""delete_published_pages"";b:1;s:12:""delete_posts"";b:1;s:19:""delete_others_posts"";b:1;s:22:""delete_published_posts"";b:1;s:20:""delete_private_posts"";b:1;s:18:""edit_private_posts"";b:1;s:18:""read_private_posts"";b:1;s:20:""delete_private_pages"";b:1;s:18:""edit_private_pages"";b:1;s:18:""read_private_pages"";b:1;s:12:""delete_users"";b:1;s:12:""create_users"";b:1;s:17:""unfiltered_upload"";b:1;s:14:""edit_dashboard"";b:1;s:14:""update_plugins"";b:1;s:14:""delete_plugins"";b:1;s:15:""install_plugins"";b:1;s:13:""update_themes"";b:1;s:14:""install_themes"";b:1;s:11:""update_core"";b:1;s:10:""list_users"";b:1;s:12:""remove_users"";b:1;s:13:""promote_users"";b:1;s:18:""edit_theme_options"";b:1;s:13:""delete_themes"";b:1;s:6:""export"";b:1;}}s:6:""editor"";a:2:{s:4:""name"";s:6:""Editor"";s:12:""capabilities"";a:34:{s:17:""moderate_comments"";b:1;s:17:""manage_categories"";b:1;s:12:""manage_links"";b:1;s:12:""upload_files"";b:1;s:15:""unfiltered_html"";b:1;s:10:""edit_posts"";b:1;s:17:""edit_others_posts"";b:1;s:20:""edit_published_posts"";b:1;s:13:""publish_posts"";b:1;s:10:""edit_pages"";b:1;s:4:""read"";b:1;s:7:""level_7"";b:1;s:7:""level_6"";b:1;s:7:""level_5"";b:1;s:7:""level_4"";b:1;s:7:""level_3"";b:1;s:7:""level_2"";b:1;s:7:""level_1"";b:1;s:7:""level_0"";b:1;s:17:""edit_others_pages"";b:1;s:20:""edit_published_pages"";b:1;s:13:""publish_pages"";b:1;s:12:""delete_pages"";b:1;s:19:""delete_others_pages"";b:1;s:22:""delete_published_pages"";b:1;s:12:""delete_posts"";b:1;s:19:""delete_others_posts"";b:1;s:22:""delete_published_posts"";b:1;s:20:""delete_private_posts"";b:1;s:18:""edit_private_posts"";b:1;s:18:""read_private_posts"";b:1;s:20:""delete_private_pages"";b:1;s:18:""edit_private_pages"";b:1;s:18:""read_private_pages"";b:1;}}s:6:""author"";a:2:{s:4:""name"";s:6:""Author"";s:12:""capabilities"";a:10:{s:12:""upload_files"";b:1;s:10:""edit_posts"";b:1;s:20:""edit_published_posts"";b:1;s:13:""publish_posts"";b:1;s:4:""read"";b:1;s:7:""level_2"";b:1;s:7:""level_1"";b:1;s:7:""level_0"";b:1;s:12:""delete_posts"";b:1;s:22:""delete_published_posts"";b:1;}}s:11:""contributor"";a:2:{s:4:""name"";s:11:""Contributor"";s:12:""capabilities"";a:5:{s:10:""edit_posts"";b:1;s:4:""read"";b:1;s:7:""level_1"";b:1;s:7:""level_0"";b:1;s:12:""delete_posts"";b:1;}}s:10:""subscriber"";a:2:{s:4:""name"";s:10:""Subscriber"";s:12:""capabilities"";a:2:{s:4:""read"";b:1;s:7:""level_0"";b:1;}}}","yes"
"97","fresh_site","1","yes"
"98","widget_search","a:2:{i:2;a:1:{s:5:""title"";s:0:"""";}s:12:""_multiwidget"";i:1;}","yes"
"99","widget_recent-posts","a:2:{i:2;a:2:{s:5:""title"";s:0:"""";s:6:""number"";i:5;}s:12:""_multiwidget"";i:1;}","yes"
"100","widget_recent-comments","a:2:{i:2;a:2:{s:5:""title"";s:0:"""";s:6:""number"";i:5;}s:12:""_multiwidget"";i:1;}","yes"
"101","widget_archives","a:2:{i:2;a:3:{s:5:""title"";s:0:"""";s:5:""count"";i:0;s:8:""dropdown"";i:0;}s:12:""_multiwidget"";i:1;}","yes"
"102","widget_meta","a:2:{i:2;a:1:{s:5:""title"";s:0:"""";}s:12:""_multiwidget"";i:1;}","yes"
"103","sidebars_widgets","a:3:{s:19:""wp_inactive_widgets"";a:0:{}s:9:""sidebar-1"";a:6:{i:0;s:8:""search-2"";i:1;s:14:""recent-posts-2"";i:2;s:17:""recent-comments-2"";i:3;s:10:""archives-2"";i:4;s:12:""categories-2"";i:5;s:6:""meta-2"";}s:13:""array_version"";i:3;}","yes"
"374","auto_core_update_notified","a:4:{s:4:""type"";s:7:""success"";s:5:""email"";s:21:""jon.venturi@gmail.com"";s:7:""version"";s:5:""5.2.4"";s:9:""timestamp"";i:1571135893;}","no"
"112","optin_monster_api","a:6:{s:3:""api"";a:0:{}s:6:""optins"";a:0:{}s:10:""is_expired"";b:0;s:11:""is_disabled"";b:0;s:10:""is_invalid"";b:0;s:7:""welcome"";a:3:{s:6:""status"";s:4:""none"";s:6:""review"";s:3:""ask"";s:7:""version"";s:4:""1141"";}}","yes"
"113","cron","a:7:{i:1573255064;a:1:{s:20:""jetpack_clean_nonces"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:6:""hourly"";s:4:""args"";a:0:{}s:8:""interval"";i:3600;}}}i:1573255072;a:1:{s:34:""wp_privacy_delete_old_export_files"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:6:""hourly"";s:4:""args"";a:0:{}s:8:""interval"";i:3600;}}}i:1573265872;a:3:{s:16:""wp_version_check"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:10:""twicedaily"";s:4:""args"";a:0:{}s:8:""interval"";i:43200;}}s:17:""wp_update_plugins"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:10:""twicedaily"";s:4:""args"";a:0:{}s:8:""interval"";i:43200;}}s:16:""wp_update_themes"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:10:""twicedaily"";s:4:""args"";a:0:{}s:8:""interval"";i:43200;}}}i:1573265963;a:1:{s:32:""recovery_mode_clean_expired_keys"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:5:""daily"";s:4:""args"";a:0:{}s:8:""interval"";i:86400;}}}i:1573480800;a:1:{s:28:""wpforms_email_summaries_cron"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:30:""wpforms_email_summaries_weekly"";s:4:""args"";a:0:{}s:8:""interval"";i:604800;}}}i:1573627932;a:1:{s:35:""monsterinsights_usage_tracking_cron"";a:1:{s:32:""40cd750bba9870f18aada2478b24840a"";a:3:{s:8:""schedule"";s:6:""weekly"";s:4:""args"";a:0:{}s:8:""interval"";i:604800;}}}s:7:""version"";i:2;}","yes"
"114","jetpack_activated","1","yes"
"117","jetpack_activation_source","a:2:{i:0;s:7:""unknown"";i:1;N;}","yes"
"118","_transient_timeout_jetpack_file_data_6.8","1572747464","no"
